Кредит (актив);Вклад (пассив);Дата погашения;Срок погашения, дней;Ставка, %;[ОТВЕТ] Номер группы;
0;575023.96;;<30;0.750000;;
0;576647.39;;<30;-2;;
0;1380028.75;;<30;0.750000;;
0;2529754.03;;<30;-3.500000;;
0;2531672.46;;<30;-2.500000;;
0;170787.02;;<30;-0.100000;;
0;1558195.31;;<30;-0.100000;;
0;1725954.71;;<30;-0.100000;;
0;825400;;<30;-0.100000;;
0;865873.06;;<30;-0.100000;;
0;1274884;;<30;-0.100000;;
0;213828.36;;<30;0.750000;;
0;1097229.68;;<30;0.750000;;
0;1454183.98;;<30;0.750000;;
0;1529703.62;;<30;1;;
0;5144367.23;;<30;0.750000;;
0;2748596.67;;<30;-0.100000;;
0;3228864.60;;<30;-0.100000;;
10600000;0;;<30;1.694700;;
0;20900000;;<30;1.703800;;
20900000;0;;<30;1.708000;;
0;14600000;;<30;1.708000;;
0;20900000;;<30;1.708000;;
25100000;0;;<30;1.704600;;
0;34500000;;<30;1.657900;;
102500000;0;;<30;1.694700;;
50000000;0;;<30;1.703800;;
0;31000000;;<30;1.721500;;
102200000;0;;<30;1.739200;;
25900000;0;;<30;1.657900;;
0;38300000;;<30;1.721500;;
0;20500000;;<30;1.739200;;
53600000;0;;<30;1.739200;;
30800000;0;;<30;1.739200;;
16400000;0;;<30;1.709100;;
12300000;0;;<30;1.721500;;
0;20400000;;<30;1.731300;;
0;10200000;;<30;1.734100;;
15900000;0;;<30;1.739200;;
0;20500000;;<30;1.744700;;
0;10200000;;<30;1.744700;;
0;5500000;;<30;1.674600;;
258800000;0;;<30;1.685800;;
20000000;0;;<30;1.694300;;
5500000;0;;<30;1.695900;;
20900000;0;;<30;1.703800;;
7800000;0;;<30;1.708000;;
0;10500000;;<30;1.708000;;
104700000;0;;<30;1.709100;;
0;11000000;;<30;1.709100;;
11000000;0;;<30;1.721500;;
0;5500000;;<30;1.731300;;
0;14500000;;<30;1.731300;;
0;50000000;;<30;1.734100;;
15000000;0;;<30;1.739200;;
0;50000000;;<30;1.744700;;
15000000;0;;<30;1.744700;;
0;20800000;;<30;1.744700;;
30000000;0;;<30;1.694300;;
100000000;0;;<30;1.695900;;
5600000;0;;<30;1.709100;;
21200000;0;;<30;1.739200;;
0;35600000;;<30;1.734100;;
0;4500000;;<30;1.703900;;
0;49950000;;<30;5.718400;;
0;900000;;<30;1.695900;;
0;41000000;;<30;1.709100;;
0;39000000;;<30;1.709100;;
0;53000000;;<30;1.674600;;
0;20500000;;<30;1.674600;;
0;50000000;;<30;1.693400;;
25000000;0;;<30;1.694700;;
17000000;0;;<30;1.674600;;
120000000;0;;<30;1.721500;;
0;50000000;;<30;1.674600;;
0;10000000;;<30;1.674600;;
0;10000000;;<30;1.685800;;
0;10000000;;<30;1.721500;;
14000000;0;;<30;1.721500;;
0;11000000;;<30;1.731300;;
0;20000000;;<30;1.674600;;
40500000;0;;<30;1.694700;;
0;38100000;;<30;1.703800;;
15000000;0;;<30;1.703800;;
0;200000000;;<30;1.503900;;
0;20700000;;<30;1.694300;;
30900000;0;;<30;1.708000;;
20600000;0;;<30;1.721500;;
10900000;0;;<30;1.721500;;
0;30900000;;<30;1.731300;;
10900000;0;;<30;1.657900;;
0;5200000;;<30;1.657900;;
22000000;0;;<30;1.674600;;
0;62000000;;<30;1.693400;;
0;20600000;;<30;1.694700;;
0;9500000;;<30;1.721500;;
0;25400000;;<30;1.721500;;
0;20500000;;<30;1.744700;;
10000000;0;;<30;1.657900;;
50000000;0;;<30;1.694300;;
50000000;0;;<30;1.708000;;
26100000;0;;<30;1.704600;;
0;60800000;;<30;1.704600;;
30400000;0;;<30;1.704600;;
52300000;0;;<30;1.709100;;
44000000;0;;<30;1.694700;;
26000000;0;;<30;1.703800;;
15000000;0;;<30;1.703800;;
0;51500000;;<30;1.731300;;
9400000;0;;<30;1.694300;;
0;31100000;;<30;1.694300;;
39400000;0;;<30;1.703800;;
0;22700000;;<30;1.703900;;
30800000;0;;<30;1.721500;;
0;10300000;;<30;1.731300;;
0;3100000;;<30;1.657900;;
0;41500000;;<30;1.674600;;
0;41000000;;<30;1.721500;;
0;16500000;;<30;1.693400;;
10900000;0;;<30;1.694700;;
25400000;0;;<30;1.744700;;
0;30000000;;<30;1.744700;;
0;31000000;;<30;1.674600;;
0;10300000;;<30;1.674600;;
0;20600000;;<30;1.703800;;
0;51500000;;<30;1.703900;;
10000000;0;;<30;1.721500;;
0;16200000;;<30;1.721500;;
20500000;0;;<30;1.744700;;
27000000;0;;<30;1.674600;;
0;41200000;;<30;1.703800;;
0;20500000;;<30;1.703800;;
10300000;0;;<30;1.703800;;
10200000;0;;<30;1.708000;;
1750000000;0;;<30;1.693400;;
10000000;0;;<30;1.739200;;
0;10000000;;<30;1.721500;;
0;5400000;;<30;1.674600;;
0;8600000;;<30;1.685800;;
0;10300000;;<30;1.693400;;
0;10200000;;<30;1.694700;;
0;5500000;;<30;1.731300;;
5500000;0;;<30;1.734100;;
95200000;0;;<30;1.744700;;
20000000;0;;<30;1.674600;;
20600000;0;;<30;1.674600;;
0;20700000;;<30;1.674600;;
20700000;0;;<30;1.674600;;
20600000;0;;<30;1.693400;;
10300000;0;;<30;1.693400;;
0;5500000;;<30;1.694700;;
0;10300000;;<30;1.721500;;
20600000;0;;<30;1.744700;;
0;50900000;;<30;1.657900;;
0;53900000;;<30;1.693400;;
0;53800000;;<30;1.694700;;
0;20500000;;<30;1.721500;;
0;25000000;;<30;1.739200;;
50000000;0;;<30;1.696900;;
0;50000000;;<30;1.696900;;
0;20900000;;<30;1.709100;;
0;31300000;;<30;1.721500;;
20900000;0;;<30;1.721500;;
0;102500000;;<30;1.693400;;
5000000;0;;<30;0.948000;;
20400000;0;;<30;1.709100;;
0;50300000;;<30;1.734100;;
14400000;0;;<30;1.685800;;
202700000;0;;<30;1.693400;;
10200000;0;;<30;1.695900;;
16200000;0;;<30;1.695900;;
0;393996411.10;;<30;1.685800;;
200000000;0;;<30;1.503900;;
15600000;0;;<30;1.721500;;
15600000;0;;<30;1.721500;;
6500000;0;;<30;1.739200;;
10000000;0;;<30;1.685800;;
0;12000000;;<30;1.657900;;
0;64500000;;<30;1.657900;;
0;10000000;;<30;1.674600;;
20600000;0;;<30;1.674600;;
0;20700000;;<30;1.674600;;
20600000;0;;<30;1.693400;;
0;8300000;;<30;1.694700;;
0;10300000;;<30;1.703900;;
30900000;0;;<30;1.721500;;
20600000;0;;<30;1.731300;;
0;20700000;;<30;1.744700;;
0;20600000;;<30;1.674600;;
0;41200000;;<30;1.721500;;
0;24700000;;<30;1.721500;;
16700000;0;;<30;1.674600;;
0;20600000;;<30;1.674600;;
14400000;0;;<30;1.693400;;
0;20600000;;<30;1.703800;;
20000000;0;;<30;1.703800;;
0;30900000;;<30;1.721500;;
0;10400000;;<30;1.739200;;
0;6000000;;<30;1.708000;;
8400000;0;;<30;1.708000;;
11000000;0;;<30;1.721500;;
0;14000000;;<30;1.721500;;
5500000;0;;<30;1.731300;;
100000000;0;;<30;1.731300;;
0;31000000;;<30;1.731300;;
15000000;0;;<30;1.734100;;
10000000;0;;<30;1.744700;;
0;20800000;;<30;1.739200;;
20800000;0;;<30;1.739200;;
10400000;0;;<30;1.739200;;
0;12500000;;<30;1.744700;;
50500000;0;;<30;1.744700;;
20800000;0;;<30;1.657900;;
0;25000000;;<30;1.657900;;
0;10000000;;<30;1.674600;;
0;11000000;;<30;1.674600;;
11000000;0;;<30;1.685800;;
0;54600000;;<30;1.693400;;
12500000;0;;<30;1.693400;;
10000000;0;;<30;1.693400;;
10300000;0;;<30;1.693400;;
0;20800000;;<30;1.693400;;
0;20800000;;<30;1.693400;;
10400000;0;;<30;1.694300;;
0;21000000;;<30;1.694300;;
0;52300000;;<30;1.695900;;
0;54900000;;<30;1.695900;;
0;16700000;;<30;1.695900;;
21000000;0;;<30;1.695900;;
52300000;0;;<30;1.695900;;
20900000;0;;<30;1.695900;;
20900000;0;;<30;1.703800;;
41800000;0;;<30;1.703800;;
0;30800000;;<30;1.739200;;
80000000;0;;<30;1.693400;;
0;20400000;;<30;1.693400;;
0;20400000;;<30;1.703800;;
10200000;0;;<30;1.657900;;
29200000;0;;<30;1.685800;;
101400000;0;;<30;1.695900;;
7200000;0;;<30;1.685800;;
105437456.40;0;;<30;1.685800;;
0;326180120.10;;<30;1.685800;;
41000000;0;;<30;1.703800;;
0;51900000;;<30;1.709100;;
0;25300000;;<30;1.721500;;
0;20200000;;<30;1.721500;;
6500000;0;;<30;1.739200;;
0;1000000;;<30;1.744700;;
1500000;0;;<30;1.674600;;
20900000;0;;<30;1.708000;;
14600000;0;;<30;1.708000;;
83500000;0;;<30;1.657900;;
30500000;0;;<30;1.657900;;
12500000;0;;<30;1.685800;;
0;50000000;;<30;1.695900;;
30000000;0;;<30;1.708000;;
0;20700000;;<30;1.731300;;
20700000;0;;<30;1.731300;;
20700000;0;;<30;1.731300;;
0;15000000;;<30;1.731300;;
100000000;0;;<30;2.760000;;
9000000;0;;<30;1.695900;;
0;70300000;;<30;1.674600;;
0;11000000;;<30;1.693400;;
20200000;0;;<30;1.731300;;
0;32000000;;<30;1.674600;;
50000000;0;;<30;1.674600;;
5000000;0;;<30;1.694700;;
20500000;0;;<30;1.674600;;
0;10000000;;<30;1.674600;;
0;10000000;;<30;1.685800;;
0;225463.20;;<30;0.500000;;
0;246925.93;;<30;0.500000;;
0;2029500;;<30;0.900000;;
0;2368141.34;;<30;0.850000;;
0;626965.04;;<30;-0.500000;;
0;2194255.47;;<30;-0.500000;;
0;7829886.42;;<30;-0.100000;;
0;10486605.33;;<30;-0.100000;;
1277526.61;0;;<30;0.250000;;
0;571483.26;;<30;0.150000;;
