Кредит (актив);Вклад (пассив);Дата погашения;Срок погашения, дней;Ставка, %;[ОТВЕТ] Номер группы;Пример группировки (для первых 20 сделок)
50000000;0;07.06.2018;77;0.934000;;5
0;50000000;28.04.2018;37;0.974500;;4
121700000;0;27.04.2018;36;1.760300;;2
111000000;0;27.04.2018;36;1.760300;;2
0;55600000;30.04.2018;39;1.766900;;2
550000000;0;07.05.2018;46;1.793500;;2
0;24500000;09.05.2018;48;1.799900;;2
0;22000000;09.05.2018;48;1.799900;;2
0;10000000;10.05.2018;49;1.810500;;2
11100000;0;16.05.2018;55;1.850000;;2
0;1100000;17.05.2018;56;1.872500;;2
8000000;0;17.05.2018;56;1.884900;;2
0;33000000;04.06.2018;74;2.024600;;1
0;11300000;05.06.2018;75;2.024600;;1
100000000;0;11.06.2018;81;2.071400;;1
0;5000000;11.06.2018;81;2.071400;;1
0;5000000;11.06.2018;81;2.071400;;1
6100000;0;14.06.2018;84;2.106900;;1
0;8200000;14.06.2018;84;2.106900;;1
14400000;0;18.06.2018;88;2.177500;;3
50000000;0;21.05.2018;60;1.884900;;
0;52000000;21.05.2018;60;1.892100;;
20000000;0;24.05.2018;63;1.943600;;
50600000;0;24.05.2018;63;1.943600;;
11000000;0;24.05.2018;63;1.943600;;
0;25000000;24.05.2018;63;1.943600;;
0;11000000;24.05.2018;63;1.943600;;
25000000;0;24.05.2018;63;1.943600;;
0;41800000;01.06.2018;71;2.006300;;
18900000;0;04.06.2018;74;2.024600;;
0;5900000;04.06.2018;74;2.024600;;
14700000;0;06.06.2018;76;2.025200;;
0;55400000;06.06.2018;76;2.025200;;
60900000;0;06.06.2018;76;2.025200;;
0;67800000;07.06.2018;77;2.034900;;
0;127500000;18.06.2018;88;2.177500;;
0;16000000;31.05.2018;70;1.984200;;
102300000;0;30.04.2018;39;1.766900;;
20500000;0;04.05.2018;43;1.787000;;
26000000;0;10.05.2018;49;1.810500;;
80000000;0;30.04.2018;39;1.772300;;
0;20600000;14.05.2018;53;1.810500;;
0;76000000;18.05.2018;57;1.884900;;
20600000;0;04.06.2018;74;2.024600;;
0;103200000;07.06.2018;77;2.034900;;
0;103300000;08.06.2018;78;2.047300;;
0;54100000;11.06.2018;81;2.071400;;
0;103100000;14.06.2018;84;2.106900;;
50000000;0;18.06.2018;88;2.145000;;
0;54200000;21.06.2018;91;2.222500;;
0;41000000;23.04.2018;32;1.744700;;
0;14400000;23.04.2018;32;1.744700;;
102500000;0;27.04.2018;36;1.760300;;
0;20500000;30.04.2018;39;1.760300;;
0;14300000;01.05.2018;40;1.773400;;
0;8600000;04.05.2018;43;1.787000;;
0;78000000;30.05.2018;69;1.984200;;
53100000;0;08.05.2018;47;1.790700;;
10200000;0;09.05.2018;48;1.799900;;
0;79300000;10.05.2018;49;1.810500;;
101700000;0;11.05.2018;50;1.810500;;
33000000;0;11.05.2018;50;1.810500;;
77000000;0;30.05.2018;69;1.984200;;
25500000;0;16.05.2018;55;1.850000;;
10500000;0;16.05.2018;55;1.850000;;
20000000;0;18.05.2018;57;1.884900;;
0;20500000;29.05.2018;68;1.943600;;
0;20400000;29.05.2018;68;1.943600;;
0;8500000;29.05.2018;68;1.984200;;
25000000;0;24.04.2018;33;1.741300;;
0;25000000;24.04.2018;33;1.741300;;
20400000;0;25.04.2018;34;1.745200;;
14300000;0;25.04.2018;34;1.745200;;
0;20500000;27.04.2018;36;1.760300;;
20500000;0;30.04.2018;39;1.772300;;
10600000;0;30.04.2018;39;1.772300;;
0;20500000;30.04.2018;39;1.772300;;
10600000;0;30.04.2018;39;1.772300;;
23400000;0;01.05.2018;40;1.773400;;
35100000;0;01.05.2018;40;1.773400;;
0;50800000;01.05.2018;40;1.773400;;
